brand_name,brand_logo
"Adidas","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Adidas.png"
"Nike","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Nike.png"
"Reebok","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Reebok.png"
"Puma","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Puma.png"
"Under Armour","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Under_Armour.png"
"New Balance","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_New_Balance.png"
"Converse","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Converse.png"
"Vans","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Vans.png"
"Timberland","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Timberland.png"
"ASICS","https://raw.githubusercontent.com/DNAnh01/assets/main/SoleMateAI/brand_logo_Asics.png"
