color_name,hex_value
"Black","#000000"
"White","#FFFFFF"
"Red","#FF0000"
"Green","#00FF00"
"Blue","#0000FF"
"Yellow","#FFFF00"
"Magenta","#FF00FF"
"Cyan","#00FFFF"
"Silver","#C0C0C0"
"Gray","#808080"
"Maroon","#800000"
"Olive","#808000"
"Purple","#800080"
"Teal","#008080"
"Navy","#000080"
"Orange","#FFA500"
"Brown","#A52A2A"
"Tan","#D2B48C"
"Turquoise","#40E0D0"
"Aquamarine","#7FFFD4"
"Sky Blue","#87CEEB"
"Royal Blue","#4169E1"
"Indigo","#4B0082"
"Violet","#EE82EE"
"Beige","#F5F5DC"
"Wheat","#F5DEB3"
"Khaki","#F0E68C"
"Hot Pink","#FF69B4"
"Pale Green","#98FB98"
"Sea Green","#2E8B57"
"Spring Green","#00FF7F"
"Dark Green","#006400"
"Forest Green","#228B22"
"Olive Drab","#6B8E23"
"Dark Khaki","#BDB76B"
"Peru","#CD853F"
"Dark Goldenrod","#B8860B"
"Goldenrod","#DAA520"
"Rosy Brown","#BC8F8F"
"Indian Red","#CD5C5C"
"Saddle Brown","#8B4513"
"Sienna","#A0522D"
"Chocolate","#D2691E"
"Dark Orange","#FF8C00"
"Salmon","#FA8072"
"Light Coral","#F08080"
"Dark Salmon","#E9967A"
"Light Salmon","#FFA07A"
"Orange Red","#FF4500"
"Dark Red","#8B0000"
